"Online
ISSN",Journal Title,,,"APC Amount
(USD $)"
2161-4296,Journal of the Institute of Navigation,Hybrid,USD,3000
1469-7750,Journal of the London Mathematical Society,Hybrid,USD,3000
1529-8027,Journal of the Peripheral Nervous System,Hybrid,USD,3300
1467-9655,Journal of the Royal Anthropological Institute,Hybrid,USD,3000
1467-9876,Journal of the Royal Statistical Soceity: Series C Applied Statistics,Hybrid,USD,3000
1467-985X,Journal of the Royal Statistical Society: Series A (Statistics in Society),Hybrid,USD,3000
1467-9868,Journal of the Royal Statistical Society: Series B Statistical Methodology,Hybrid,USD,3000
1097-0010,Journal of the Science of Food and Agriculture,Hybrid,USD,3900
1938-3657,Journal of the Society for Information Display,Hybrid,USD,3000
1749-7345,Journal of the World Aquaculture Society,Hybrid,USD,2500
2475-0387,Journal of Theoretical Social Psychology,Hybrid,USD,2500
1538-7836,Journal of Thrombosis and Haemostasis,Hybrid,USD,3500
1467-9892,Journal of Time Series Analysis,Hybrid,USD,2500
1932-7005,Journal of Tissue Engineering and Regenerative Medicine,Hybrid,USD,4200
1753-8424,Journal of Topology,Hybrid,USD,3000
1573-6598,Journal of Traumatic Stress,Hybrid,USD,3000
1550-9613,Journal of Ultrasound in Medicine,Hybrid,USD,3000
1654-1103,Journal of Vegetation Science,Hybrid,USD,3800
1476-4431,Journal of Veterinary Emergency and Critical Care,Hybrid,USD,3000
1365-2885,Journal of Veterinary Pharmacology and Therapeutics,Hybrid,USD,3500
1548-0585,Journal of Vinyl and Additive Technology,Hybrid,USD,3000
1365-2893,Journal of Viral Hepatitis,Hybrid,USD,4100
1937-2817,Journal of Wildlife Managemement - The,Hybrid,USD,3000
1747-1796,Journal of World Intellectual Property - The,Hybrid,USD,2500
1439-0469,Journal of Zoological Systematics and Evolutionary Research,Hybrid,USD,3600
1469-7998,Journal of Zoology,Hybrid,USD,3000
2050-5876,Juncture,Hybrid,USD,3000
1755-6988,Juvenile and Family Court Journal,Hybrid,USD,3000
1099-1441,Knowledge and Process Management,Hybrid,USD,2500
1467-6435,Kyklos: International Review of Social Sciences,Hybrid,USD,2800
1467-9914,LABOUR - Review of Labour Economics and Industrial Relations,Hybrid,USD,2500
1440-1770,Lakes & Reservoirs: Research and Management,Hybrid,USD,2500
1099-145X,Land Degradation & Development,Hybrid,USD,3000
1749-818X,Language and Linguistics Compass,Hybrid,USD,2500
1467-9922,Language Learning,Hybrid,USD,3000
1531-4995,Laryngoscope - The,Hybrid,USD,4100
1863-8899,Laser & Photonics Reviews,Hybrid,USD,3500
1096-9101,Lasers in Surgery and Medicine,Hybrid,USD,4000
2041-7373,Latin American Policy,Hybrid,USD,3000
1557-203X,Latin Americanist - The,Hybrid,USD,2500
1467-9930,Law & Policy,Hybrid,USD,3000
1747-4469,Law & Social Inquiry,Hybrid,USD,3000
1540-5893,Law & Society Review,Hybrid,USD,3000
1741-4857,Learned Publishing,Hybrid,USD,2900
1540-5826,Learning Disabilities Research and Practice,Hybrid,USD,3000
2044-8333,Legal and Criminological Psychology,Hybrid,USD,2500
1939-9162,Legislative Studies Quarterly,Hybrid,USD,3000
1502-3931,Lethaia,Hybrid,USD,3300
1472-765X,Letters in Applied Microbiology,Hybrid,USD,3000
1939-5590,Limnology and Oceanography,Hybrid,USD,2500
1541-5856,Limnology and Oceanography: Methods,Hybrid,USD,2500
1558-9307,Lipids,Hybrid,USD,3000
1741-4369,Literacy,Hybrid,USD,3000
1741-4113,Literature Compass,Hybrid,USD,2500
1478-3231,Liver International,Hybrid,USD,4100
1527-6473,Liver Transplantation,Hybrid,USD,1500
2057-1615,London Business School Review,Hybrid,USD,3000
1757-5672,Lower Urinary Tract Symptoms,Hybrid,USD,2500
1557-6833,Lubrication Science,Hybrid,USD,3600
1522-7243,Luminescence,Hybrid,USD,2500
1616-5195,Macromolecular Bioscience,Hybrid,USD,3500
1521-3935,Macromolecular Chemistry and Physics,Hybrid,USD,3500
1439-2054,Macromolecular Materials and Engineering,Hybrid,USD,3500
1521-3927,Macromolecular Rapid Communications,Hybrid,USD,3500
1862-8338,Macromolecular Reaction Engineering,Hybrid,USD,3500
1521-3900,Macromolecular Symposia,Hybrid,USD,3500
1521-3919,Macromolecular Theory and Simulations,Hybrid,USD,3500
1097-458X,Magnetic Resonance in Chemistry,Hybrid,USD,3300
1522-2594,Magnetic Resonance in Medicine,Hybrid,USD,3500
1365-2907,Mammal Review,Hybrid,USD,3000
1099-1468,Managerial and Decision Economics,Hybrid,USD,2500
1467-9957,Manchester School - The,Hybrid,USD,2500
1439-0485,Marine Ecology,Hybrid,USD,3100
1748-7692,Marine Mammal Science,Hybrid,USD,3000
1098-2787,Mass Spectrometry Reviews,Hybrid,USD,4000
1521-4176,Materials and Corrosion,Hybrid,USD,3700
1521-4052,Materialwissenschaften und Werkstofftechnik,Hybrid,USD,3000
1740-8709,Maternal & Child Nutrition,Hybrid,USD,3700
1467-9965,Mathematical Finance,Hybrid,USD,2500
1521-3870,Mathematical Logic Quarterly,Hybrid,USD,2500
1099-1476,Mathematical Methods in the Applied Sciences,Hybrid,USD,3600
1522-2616,Mathematische Nachrichten,Hybrid,USD,2500
1365-2915,Medical and Veterinary Entomology,Hybrid,USD,3000
1548-1387,Medical Anthropology Quarterly,Hybrid,USD,3000
2573-802X,Medical Devices & Sensors,Hybrid,USD,3000
1365-2923,Medical Education,Hybrid,USD,4300
2473-4209,Medical Physics,Hybrid,USD,2500
1098-1128,Medicinal Research Reviews,Hybrid,USD,2500
1467-9973,Metaphilosophy,Hybrid,USD,2500
1945-5100,Meteoritics & Planetary Science,Hybrid,USD,2400
1469-8080,Meteorological Applications,Hybrid,USD,3000
2041-210X,Methods in Ecology and Evolution,Hybrid,USD,3000
1467-999X,Metroeconomica,Hybrid,USD,2500
1348-0421,Microbiology and Immunology,Hybrid,USD,2700
1549-8719,Microcirculation,Hybrid,USD,2500
1097-0029,Microscopy Research and Technique,Hybrid,USD,3100
1098-2752,Microsurgery,Hybrid,USD,2500
1098-2760,Microwave and Optical Technology Letters,Hybrid,USD,2500
1475-4967,Middle East Policy,Hybrid,USD,3000
1475-4975,Midwest Studies in Philosophy,Hybrid,USD,2500
1468-0009,Milbank Quarterly - The,Hybrid,USD,3200
1094-348X,Milton Quarterly,Hybrid,USD,2500
1468-0017,Mind & Language,Hybrid,USD,3200
1751-228X,"Mind, Brain, and Education",Hybrid,USD,2500
1540-4781,Modern Language Journal - The,Hybrid,USD,3000
1468-0025,Modern Theology,Hybrid,USD,2500
1098-2744,Molecular Carcinogenesis,Hybrid,USD,3600
1365-294X,Molecular Ecology,Hybrid,USD,4500
1755-0998,Molecular Ecology Resources,Hybrid,USD,4200
1868-1751,Molecular Informatics,Hybrid,USD,3000
1365-2958,Molecular Microbiology,Hybrid,USD,4500
1613-4133,Molecular Nutrition & Food Research,Hybrid,USD,3500
2041-1014,Molecular Oral Microbiology,Hybrid,USD,3700
1364-3703,Molecular Plant Pathology,Hybrid,USD,3000
1098-2795,Molecular Reproduction and Development,Hybrid,USD,3300
1540-5834,Monographs of the Society for Research in Child Development,Hybrid,USD,2500
1531-8257,Movement Disorders,Hybrid,USD,3000
2330-1619,Movement Disorders Clinical Practice,Hybrid,USD,3000
1097-4598,Muscle & Nerve,Hybrid,USD,3400
1557-0681,Musculoskeletal Care,Hybrid,USD,2500
1548-1379,Museum Anthropology,Hybrid,USD,3000
1468-2249,Music Analysis,Hybrid,USD,3000
1478-1913,Muslim World - The,Hybrid,USD,3000
1439-0507,"Mycoses/Diagnosis, Therapy and Prophylaxis of Fungal Diseases",Hybrid,USD,4000
1469-8129,Nations and Nationalism,Hybrid,USD,2500
1939-7445,Natural Resource Modeling,Hybrid,USD,2500
1477-8947,Natural Resources Forum,Hybrid,USD,3000
1520-6750,Naval Research Logistics,Hybrid,USD,2500
1750-4716,Negotiation and Conflict Management Research,Hybrid,USD,3000
1571-9979,Negotiation Journal,Hybrid,USD,3000
1440-1797,Nephrology,Hybrid,USD,3300
1097-0037,Networks,Hybrid,USD,2500
1365-2982,Neurogastroenterology & Motility,Hybrid,USD,4000
2049-4173,Neurology and Clinical Neuroscience,Hybrid,USD,2500
1525-1403,Neuromodulation: Technology at the Neural Interface,Hybrid,USD,3800
1440-1789,Neuropathology,Hybrid,USD,2500
1365-2990,Neuropathology and Applied Neurobiology,Hybrid,USD,3000
1520-6777,Neurourology and Urodynamics,Hybrid,USD,4100
1741-2005,New Blackfriars,Hybrid,USD,3000
1469-8137,New Phytologist,Hybrid,USD,3000
1468-005X,"New Technology, Work and Employment",Hybrid,USD,2900
1745-7939,New Zealand Geographer,Hybrid,USD,2500
1099-1492,NMR in Biomedicine,Hybrid,USD,4300
1756-1051,Nordic Journal of Botany,Hybrid,USD,2000
1556-4819,North American Dialogue,Hybrid,USD,3000
1548-8454,North American Journal of Aquaculture,Hybrid,USD,3000
1548-8675,North American Journal of Fisheries Management,Hybrid,USD,3000
1468-0068,Noûs,Hybrid,USD,3000
1099-1506,Numerical Linear Algebra with Applications,Hybrid,USD,2500
1098-2426,Numerical Methods for Partial Differential Equations,Hybrid,USD,2500
1442-2018,Nursing & Health Sciences,Hybrid,USD,2500
1744-6198,Nursing Forum,Hybrid,USD,2500
1478-5153,Nursing in Critical Care,Hybrid,USD,3000
1440-1800,Nursing Inquiry,Hybrid,USD,2500
1466-769X,Nursing Philosophy,Hybrid,USD,2500
1747-0080,Nutrition & Dietetics,Hybrid,USD,2700
1467-3010,Nutrition Bulletin,Hybrid,USD,2500
1941-2452,Nutrition in Clinical Practice,Hybrid,USD,3000
1930-739X,Obesity,Hybrid,USD,3500
1467-789X,Obesity Reviews,Hybrid,USD,4200
1744-4667,Obstetrician & Gynaecologist - The,Hybrid,USD,3000
1834-4461,Oceania,Hybrid,USD,2500
1600-0706,Oikos,Hybrid,USD,2000
1753-0237,OPEC Energy Review,Hybrid,USD,2500
1475-1313,Ophthalmic and Physiological Optics,Hybrid,USD,3000
1099-1514,Optimal Control Applications and Methods,Hybrid,USD,2500
1601-0825,Oral Diseases,Hybrid,USD,3600
1752-248X,Oral Surgery,Hybrid,USD,2500
1600-0730,Orbis Litterarum,Hybrid,USD,2500
1601-6343,Orthodontics & Craniofacial Research,Hybrid,USD,4000
1757-7861,Orthopaedic Surgery,Hybrid,USD,2700
1468-0084,Oxford Bulletin of Economics and Statistics,Hybrid,USD,3000
1468-0092,Oxford Journal of Archaeology,Hybrid,USD,2500
1468-0106,Pacific Economic Review,Hybrid,USD,2500
1976-5118,Pacific Focus,Hybrid,USD,2500
1468-0114,Pacific Philosophical Quarterly,Hybrid,USD,2500
1540-8159,Pacing and Clinical Electrophysiology,Hybrid,USD,2900
1099-1522,Packaging Technology and Science,Hybrid,USD,3500
1365-3016,Paediatric and Perinatal Epidemiology,Hybrid,USD,4200
1533-2500,Pain Practice,Hybrid,USD,3900
1475-4983,Palaeontology,Hybrid,USD,3250
1944-9186,PALEOCEANOGRAPHY,Hybrid,USD,3500
2056-2802,Papers in Palaeontology,Hybrid,USD,2500
1435-5957,Papers in Regional Science,Hybrid,USD,3000
1365-3024,Parasite Immunology,Hybrid,USD,3400
1750-0206,Parliamentary History,Hybrid,USD,3000
1521-4117,Particle & Particle Systems Characterization,Hybrid,USD,3500
1440-1827,Pathology International,Hybrid,USD,3000
1468-0130,Peace & Change: A Journal of Peace Research,Hybrid,USD,3000
1399-3038,Pediatric Allergy and Immunology,Hybrid,USD,4300
1460-9592,Pediatric Anesthesia,Hybrid,USD,3500
1545-5017,Pediatric Blood & Cancer,Hybrid,USD,4100
1525-1470,Pediatric Dermatology,Hybrid,USD,2900
1399-5448,Pediatric Diabetes,Hybrid,USD,3700
2047-6310,Pediatric Obesity,Hybrid,USD,4200
1099-0496,Pediatric Pulmonology,Hybrid,USD,3700
1399-3046,Pediatric Transplantation,Hybrid,USD,2500
1442-200X,Pediatrics International,Hybrid,USD,2700
1600-0757,Periodontology 2000,Hybrid,USD,2500
1099-1530,Permafrost and Periglacial Processes,Hybrid,USD,2500
1475-6811,Personal Relationships,Hybrid,USD,3000
1932-863X,Personality and Mental Health,Hybrid,USD,3000
1744-6570,Personnel Psychology,Hybrid,USD,2500
1744-6163,Perspectives in Psychiatric Care,Hybrid,USD,2500
1931-2393,Perspectives in Sexual and Reproductive Health,Hybrid,USD,3000
1526-4998,Pest Management Science,Hybrid,USD,4400
1539-1612,Pharmaceutical Statistics,Hybrid,USD,3600
1099-1557,Pharmacoepidemiology and Drug Safety,Hybrid,USD,4000
1875-9114,Pharmacotherapy,Hybrid,USD,3000
1467-9191,Philosophical Forum - The,Hybrid,USD,3000
1467-9205,Philosophical Investigations,Hybrid,USD,3000
1758-2237,Philosophical Issues,Hybrid,USD,3000
1758-2245,Philosophical Perspectives,Hybrid,USD,3000
1088-4963,Philosophy & Public Affairs,Hybrid,USD,2500
1933-1592,Philosophy and Phenomenological Research,Hybrid,USD,3000
1747-9991,Philosophy Compass,Hybrid,USD,2500
1751-1097,Photochemistry and Photobiology,Hybrid,USD,2500
1600-0781,"Photodermatology, Photoimmunology & Photomedicine",Hybrid,USD,2500
1477-9730,Photogrammetric Record - The,Hybrid,USD,2500
1440-1835,Phycological Research,Hybrid,USD,3300
1862-6319,physica status solidi (A),Hybrid,USD,3500
1521-3951,physica status solidi (B),Hybrid,USD,3500
1862-6270,physica status solidi (RRL) rapid research letters,Hybrid,USD,3500
1399-3054,Physiologia Plantarum,Hybrid,USD,3000
1365-3032,Physiological Entomology,Hybrid,USD,3000
1471-2865,Physiotherapy Research International,Hybrid,USD,2500
1099-1565,Phytochemical Analysis,Hybrid,USD,2500
1099-1573,Phytotherapy Research,Hybrid,USD,3400
1755-148X,Pigment Cell & Melanoma Research,Hybrid,USD,4200
1438-8677,Plant Biology,Hybrid,USD,3000
1439-0523,Plant Breeding,Hybrid,USD,3500
1365-313X,Plant Journal - The,Hybrid,USD,4000
1365-3059,Plant Pathology,Hybrid,USD,3000
1442-1984,Plant Species Biology,Hybrid,USD,2500
1365-3040,"Plant, Cell & Environment",Hybrid,USD,4300
1612-8869,Plasma Processes and Polymers,Hybrid,USD,3900
1944-2866,Policy & Internet,Hybrid,USD,3000
1541-0072,Policy Studies Journal,Hybrid,USD,3000
1555-2934,Political and Legal Anthropology Review,Hybrid,USD,3000
1467-9221,Political Psychology,Hybrid,USD,3000
1538-165X,Political Science Quarterly,Hybrid,USD,3000
1747-1346,Politics & Policy,Hybrid,USD,3000
1548-0569,Polymer Composites,Hybrid,USD,3000
2573-7619,Polymer Crystallization,Hybrid,USD,3000
1548-2634,Polymer Engineering & Science,Hybrid,USD,3000
1097-0126,Polymer International,Hybrid,USD,3700
1099-1581,Polymers for Advanced Technologies,Hybrid,USD,3600
1728-4457,Population and Development Review,Hybrid,USD,3000
1544-8452,"Population, Space and Place",Hybrid,USD,3600
1944-2858,Poverty & Public Policy,Hybrid,USD,3000
2047-2900,Practical Diabetes,Hybrid,USD,3000
1097-0223,Prenatal Diagnosis,Hybrid,USD,4200
1931-2253,Prescriber,Hybrid,USD,3000
1741-5705,Presidential Studies Quarterly,Hybrid,USD,3000
1460-244X,Proceedings of the London Mathematical Society,Hybrid,USD,3000
1547-5913,Process Safety Progress,Hybrid,USD,3000
1937-5956,Production and Operations Management,Hybrid,USD,3000
1931-227X,Progress in Neurology and Psychiatry,Hybrid,USD,3000
1099-159X,Progress in Photovoltaics: Research and Applications,Hybrid,USD,4500
1521-4087,"Propellants, Explosives, Pyrotechnics",Hybrid,USD,3000
1097-0045,Prostate - The,Hybrid,USD,4100
1469-896X,Protein Science,Hybrid,USD,2500
1097-0134,"Proteins: Structure, Function, and Bioinformatics",Hybrid,USD,3800
1615-9861,PROTEOMICS,Hybrid,USD,3500
1862-8354,PROTEOMICS – Clinical Applications,Hybrid,USD,3500
2046-0260,PsyCh Journal,Hybrid,USD,2500
1440-1819,Psychiatry and Clinical Neurosciences,Hybrid,USD,2000
1479-8301,Psychogeriatrics,Hybrid,USD,2700
1520-6793,Psychology & Marketing,Hybrid,USD,2500
2044-8341,Psychology and Psychotherapy,Hybrid,USD,2500
1520-6807,Psychology in the Schools,Hybrid,USD,2500
1099-1611,Psycho-Oncology,Hybrid,USD,4300
1469-8986,Psychophysiology,Hybrid,USD,3600
1556-9195,Psychotherapy and Politics International,Hybrid,USD,2500
1467-9299,Public Administration,Hybrid,USD,3200
1099-162X,Public Administration and Development,Hybrid,USD,2600
1540-6210,Public Administration Review,Hybrid,USD,3000
1540-5850,Public Budgeting and Finance,Hybrid,USD,3000
1525-1446,Public Health Nursing,Hybrid,USD,2500
1099-1638,Quality and Reliability Engineering International,Hybrid,USD,3700
1477-870X,Quarterly Journal of the Royal Meteorological Society,Hybrid,USD,3000
1467-9310,R&D Management,Hybrid,USD,2600
1944-799X,Radio Science,Hybrid,USD,3500
1756-2171,Rand Journal of Economics - The,Hybrid,USD,3100
1098-2418,Random Structures and Algorithms,Hybrid,USD,3800
1097-0231,Rapid Communications in Mass Spectrometry,Hybrid,USD,4100
1467-9329,Ratio,Hybrid,USD,2500
1467-9337,Ratio Juris,Hybrid,USD,2500
1936-2722,Reading Research Quarterly,Hybrid,USD,3200
1936-2714,Reading Teacher - The,Hybrid,USD,3000
1757-7802,Regional Science Policy and Practice,Hybrid,USD,3000
1748-5991,Regulation & Governance,Hybrid,USD,2500
1749-8171,Religion Compass,Hybrid,USD,2500
1748-0922,Religious Studies Review,Hybrid,USD,3000
1477-4658,Renaissance Studies,Hybrid,USD,3000
1439-0531,Reproduction in Domestic Animals,Hybrid,USD,3500
1098-240X,Research in Nursing & Health,Hybrid,USD,2500
1759-2887,Research Synthesis Methods,Hybrid,USD,3000
1751-3928,Resource Geology,Hybrid,USD,3100
1440-1843,Respirology,Hybrid,USD,4000
1526-100X,Restoration Ecology,Hybrid,USD,3000
1467-9361,Review of Development Economics,Hybrid,USD,2500
2049-6613,Review of Education,Hybrid,USD,3000
2050-0394,Review of European Comparative & International Environmental Law,Hybrid,USD,2500
1873-5924,Review of Financial Economics,Hybrid,USD,3000
1475-4991,Review of Income and Wealth,Hybrid,USD,3000
1467-9396,Review of International Economics,Hybrid,USD,2500
1541-1338,Review of Policy Research,Hybrid,USD,3000
1467-940X,Review of Urban & Regional Development Studies,Hybrid,USD,2500
1753-5131,Reviews in Aquaculture,Hybrid,USD,2500
1099-1654,Reviews in Medical Virology,Hybrid,USD,3600
1467-9418,Reviews in Religion & Theology,Hybrid,USD,2500
1944-9208,Reviews of Geophysics,Hybrid,USD,3500
1564-9148,Revista Internacional del Trabajo,Hybrid,USD,2500
1564-9121,Revue internationale du Travail,Hybrid,USD,2500
1539-6924,Risk Analysis,Hybrid,USD,3000
1944-4079,"Risks, Hazards & Crisis in Public Policy",Hybrid,USD,3000
1535-1467,River Research and Applications,Hybrid,USD,3500
1549-0831,Rural Sociology,Hybrid,USD,3000
1467-9434,Russian Review - The,Hybrid,USD,3000
1471-6712,Scandinavian Journal of Caring Sciences,Hybrid,USD,2500
1467-9442,Scandinavian Journal of Economics - The,Hybrid,USD,3000
1365-3083,Scandinavian Journal of Immunology,Hybrid,USD,3000
1600-0838,Scandinavian Journal of Medicine & Science in Sports,Hybrid,USD,3700
1467-9450,Scandinavian Journal of Psychology,Hybrid,USD,3400
1467-9469,Scandinavian Journal of Statistics,Hybrid,USD,3000
1467-9477,Scandinavian Political Studies,Hybrid,USD,3000
1949-8594,School Science and Mathematics,Hybrid,USD,3000
1098-237X,Science Education,Hybrid,USD,3700
1467-9485,Scottish Journal of Political Economy,Hybrid,USD,3000
2475-6725,Security and Privacy,Hybrid,USD,3000
1365-3091,Sedimentology,Hybrid,USD,3700
1525-139X,Seminars in Dialysis,Hybrid,USD,3300
2573-1815,Separation Science Plus,Hybrid,USD,3000
1740-9713,Significance,Hybrid,USD,2500
1467-9493,Singapore Journal of Tropical Geography,Hybrid,USD,2500
1600-0846,Skin Research and Technology,Hybrid,USD,2500
1613-6829,Small,Hybrid,USD,5000
2366-9608,Small Methods,Hybrid,USD,3500
1751-9004,Social and Personality Psychology Compass,Hybrid,USD,2500
1469-8676,Social Anthropology/Anthopologie sociale,Hybrid,USD,3000
1467-9507,Social Development,Hybrid,USD,2900
1467-9515,Social Policy & Administration,Hybrid,USD,3000
1540-6237,Social Science Quarterly,Hybrid,USD,3000
1467-9523,Sociologia Ruralis,Hybrid,USD,3000
1573-7861,Sociological Forum,Hybrid,USD,3000
1475-682X,Sociological Inquiry,Hybrid,USD,3000
1751-9020,Sociology Compass,Hybrid,USD,2500
1467-9566,Sociology of Health & Illness,Hybrid,USD,3200
1099-1689,"Software Testing, Verification and Reliability",Hybrid,USD,3600
1097-024X,Software: Practice and Experience,Hybrid,USD,2500
1475-2743,Soil Use and Management,Hybrid,USD,3500
2367-198X,Solar RRL,Hybrid,USD,3500
2054-6750,Sonography,Hybrid,USD,2500
1813-6982,South African Journal of Economics,Hybrid,USD,3000
2041-6962,Southern Journal of Philosophy - The,Hybrid,USD,3000
1542-7390,Space Weather,Hybrid,USD,3500
1754-4505,Special Care in Dentistry,Hybrid,USD,2500
1521-379X,Starch,Hybrid,USD,3500
2049-1573,Stat,Hybrid,USD,2500
1467-9574,Statistica Neerlandica,Hybrid,USD,3000
1932-1872,Statistical Analysis and Data Mining,Hybrid,USD,2900
1097-0258,Statistics in Medicine,Hybrid,USD,4500
1869-344X,Steel Research International,Hybrid,USD,3500
1549-4918,STEM CELLS,Hybrid,USD,2000
1475-1305,Strain,Hybrid,USD,2500
1932-443X,Strategic Entrepreneurship Journal,Hybrid,USD,3000
1097-0266,Strategic Management Journal,Hybrid,USD,3200
1532-2998,Stress and Health,Hybrid,USD,2500
1751-7648,Structural Concrete,Hybrid,USD,3000
1545-2263,Structural Control and Health Monitoring,Hybrid,USD,2500
1541-7808,Structural Design of Tall and Special Buildings - The,Hybrid,USD,3500
1467-9582,Studia Linguistica,Hybrid,USD,3000
1467-9590,Studies in Applied Mathematics,Hybrid,USD,2500
1728-4465,Studies in Family Planning,Hybrid,USD,3000
1943-278X,Suicide and Life-Threatening Behavior,Hybrid,USD,3000
1467-9604,Support for Learning,Hybrid,USD,3000
1096-9918,Surface and Interface Analysis,Hybrid,USD,3400
1744-1633,Surgical Practice,Hybrid,USD,2500
1099-1719,Sustainable Development,Hybrid,USD,3500
1662-6370,Swiss Political Science Review,Hybrid,USD,2000
1533-8665,Symbolic Interaction,Hybrid,USD,3000
1098-2396,Synapse,Hybrid,USD,2900
1467-9612,Syntax,Hybrid,USD,2800
1099-1727,System Dynamics Review,Hybrid,USD,3000
1365-3113,Systematic Entomology,Hybrid,USD,3000
1520-6858,Systems Engineering,Hybrid,USD,3000
1099-1743,Systems Research & Behavioral Science,Hybrid,USD,2900
1467-9639,Teaching Statistics,Hybrid,USD,3000
1467-9647,Teaching Theology & Religion,Hybrid,USD,2500
1944-9194,Tectonics,Hybrid,USD,3500
1365-3121,Terra Nova,Hybrid,USD,3600
1949-3533,TESOL Journal,Hybrid,USD,3000
1545-7249,TESOL Quarterly,Hybrid,USD,3000
1528-0691,The Chemical Record (Electronic),Hybrid,USD,4200
1681-4835,The Electronic Journal of Information Systems in Developing Countries,Hybrid,USD,3900
1755-2567,Theoria,Hybrid,USD,3000
1744-9987,Therapeutic Apheresis and Dialysis,Hybrid,USD,3100
2161-2234,Thought: A Journal of Philosophy,Hybrid,USD,3000
1467-9663,Tijdschrift voor Economische en Sociale Geographie,Hybrid,USD,3000
2059-2310,Tissue Antigens/Immune Response Genetics (HLA in 2016),Hybrid,USD,3400
1756-8765,Topics in Cognitive Science,Hybrid,USD,2900
2053-4515,Traditional & Kampo Medicine,Hybrid,USD,2000
1600-0854,Traffic,Hybrid,USD,3900
1467-9671,Transactions in GIS,Hybrid,USD,3000
1548-8659,Transactions of the American Fisheries Society,Hybrid,USD,3000
1475-5661,Transactions of the Institute of British Geographers,Hybrid,USD,3000
1467-968X,Transactions of the Philological Society,Hybrid,USD,3000
2161-3915,Transactions on Emerging Telecommunications Technologies,Hybrid,USD,2500
1865-1682,Transboundary and Emerging Diseases,Hybrid,USD,4300
1548-7466,Transforming Anthropology,Hybrid,USD,3000
1537-2995,Transfusion,Hybrid,USD,3900
1365-3148,Transfusion Medicine,Hybrid,USD,2500
2573-8488,Translational Sports Medicine,Hybrid,USD,3300
1399-3062,Transplant Infectious Disease,Hybrid,USD,2500
1432-2277,Transplant International,Hybrid,USD,3600
2044-3749,Trends in Urology and Men's Health,Hybrid,USD,3000
1365-3156,Tropical Medicine & International Health,Hybrid,USD,3000
1469-0705,Ultrasound in Obstetrics and Gynecology,Hybrid,USD,3500
1476-5829,Veterinary and Comparative Oncology,Hybrid,USD,3700
1939-165X,Veterinary Clinical Pathology,Hybrid,USD,3000
1365-3164,Veterinary Dermatology,Hybrid,USD,3000
1463-5224,Veterinary Ophthalmology,Hybrid,USD,3000
1740-8261,Veterinary Radiology & Ultrasound,Hybrid,USD,3300
1532-950X,Veterinary Surgery,Hybrid,USD,3000
2572-8288,Vietnam Journal of Chemistry,Hybrid,USD,3000
1548-7458,Visual Anthropology Review,Hybrid,USD,3000
1423-0410,Vox Sanguinis,Hybrid,USD,3300
1747-6593,Water and Environment Journal,Hybrid,USD,3100
1944-7973,Water Resources Research,Hybrid,USD,3500
1477-8696,Weather,Hybrid,USD,1500
1445-6664,Weed Biology and Management,Hybrid,USD,2500
1365-3180,Weed Research,Hybrid,USD,3000
1938-5455,Wildlife Monographs,Hybrid,USD,3000
1938-5463,Wildlife Society Bulletin,Hybrid,USD,3000
1757-7799,Wiley Interdisciplinary Reviews: Climate Change,Hybrid,USD,4200
1939-5086,Wiley Interdisciplinary Reviews: Cognitive Science,Hybrid,USD,3100
1759-0884,Wiley Interdisciplinary Reviews: Computational Molecular Science,Hybrid,USD,4500
1939-0068,Wiley Interdisciplinary Reviews: Computational Statistics,Hybrid,USD,2500
1942-4795,Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery,Hybrid,USD,2500
1759-7692,Wiley Interdisciplinary Reviews: Developmental Biology,Hybrid,USD,4200
2041-840X,Wiley Interdisciplinary Reviews: Energy and Environment,Hybrid,USD,3600
1757-7012,Wiley Interdisciplinary Reviews: RNA,Hybrid,USD,4000
1939-005X,Wiley Interdisciplinary Reviews: Systems Biology and Medicine,Hybrid,USD,3500
2049-1948,Wiley Interdisciplinary Reviews: Water,Hybrid,USD,2800
1099-1824,Wind Energy,Hybrid,USD,4400
1939-0041,WIRES: Nanomedicine and Nanobiotechnology,Hybrid,USD,3600
1743-4580,WorkingUSA: The Journal of Labor and Society,Hybrid,USD,2500
1467-9701,World Economy - The,Hybrid,USD,2500
1467-971X,World Englishes,Hybrid,USD,2500
1948-4682,World Medical & Health Policy,Hybrid,USD,3000
1741-6787,Worldviews on Evidence-Based Nursing,Hybrid,USD,2000
1524-475X,Wound Repair and Regeneration,Hybrid,USD,3000
1399-3089,Xenotransplantation,Hybrid,USD,3600
1097-4539,X-Ray Spectrometry,Hybrid,USD,3100
1097-0061,Yeast,Hybrid,USD,3400
1521-3749,ZAAC,Hybrid,USD,3000
1521-4001,ZAMM - Zeitschrift für Angewandte Mathematik und Mechanik,Hybrid,USD,2500
1098-2361,Zoo Biology,Hybrid,USD,3400
1463-6409,Zoologica Scripta,Hybrid,USD,3000
1863-2378,Zoonoses and Public Health,Hybrid,USD,3800
1467-9744,Zygon,Hybrid,USD,3000
,Acute Medicine & Surgery,Gold,USD,2250
,Advanced Science,Gold,USD,5000
,Aging Cell,Gold,USD,2900
,Annals of Clinical and Translational Neurology,Gold,USD,3000
,Annals of Gastroenterological Surgery,Gold,USD,1850
,Asia & The Pacific Policy Studies,Gold,USD,0
